  14244 ,     372 ,  -10504 ,   -1334 ,      -4 ,     441
  13860 ,     204 ,  -11732 ,   -3451 ,   -1281 ,    2981
  10280 ,     788 ,  -13320 ,   16969 ,    4432 ,   -7245
  15736 ,    2140 ,   -1384 ,   -2347 ,    8262 ,  -13548
---
  13948 ,   -2088 ,  -10484 ,  -16164 ,  -14277 ,    6874
  14436 ,   16360 ,  -10852 ,   32767 ,   -4395 ,  -32768
  16428 ,     948 ,   -8828 ,   -8274 ,   -3968 ,    3033
  14284 ,    -200 ,  -10876 ,  -22026 ,    5357 ,    1831
  15820 ,     776 ,   -7884 ,   -5404 ,   -2568 ,    6626
  12536 ,   -1248 ,  -10852 ,  -28680 ,   -2132 ,   21843
  13648 ,   -1068 ,  -11060 ,   -2713 ,     157 ,    1245
  14328 ,   -1168 ,  -11160 ,   -1353 ,    1016 ,     247
  14000 ,   -1124 ,  -10764 ,   -2268 ,     304 ,     924
  13452 ,   -1064 ,  -11248 ,   -2399 ,    -115 ,    1581
---
  13896 ,   -2332 ,  -10376 ,  -24214 ,    -349 ,   18161
  13528 ,   -1280 ,  -11816 ,   -8968 ,    -360 ,    4246
  13648 ,   -1408 ,  -10880 ,   -2771 ,     867 ,    1162
  13700 ,   -1204 ,  -11096 ,    -954 ,      61 ,     322
  13604 ,   -1004 ,  -11196 ,   -5276 ,     520 ,    3506
  11920 ,     692 ,  -14108 ,   22147 ,    4932 ,  -13313
  13516 ,     352 ,   -6528 ,  -10897 ,    2935 ,   -6588
  15068 ,    -576 ,   -8004 ,   -2543 ,       3 ,    1417
  14320 ,    -840 ,   -9360 ,  -25040 ,   -5760 ,   20359
  13560 ,   -1676 ,  -10920 ,  -12887 ,     699 ,    7063
---
  16100 ,    2876 ,   -7232 ,   -1082 ,     948 ,   -3204
  15192 ,     480 ,   -7828 ,   -3092 ,     -65 ,    2377
  14780 ,    -184 ,   -8660 ,  -13789 ,   -4334 ,   12525
  13752 ,   -1904 ,  -10352 ,  -13369 ,   -1319 ,   11062
  15332 ,   -1924 ,   -9040 ,    4516 ,    5976 ,   -4412
  15424 ,   -1404 ,   -5240 ,    7969 ,   22940 ,  -15696
